word,weight,reason(optional)
faggot,100,homophobic
tranny,100,transphobic
nigger,100,racism
5h1t,100,Facebook Bad Words List EN
5hit,100,Facebook Bad Words List EN
a_s_s,100,Facebook Bad Words List EN
a55,100,Facebook Bad Words List EN
acrotomophilia,20,Facebook Bad Words List EN
anal,40,Facebook Bad Words List EN
anilingus,20,Facebook Bad Words List EN
anus,30,Facebook Bad Words List EN
apeshit,30,Facebook Bad Words List EN
ar5e,100,Facebook Bad Words List EN
arrse,20,Facebook Bad Words List EN
arse,20,Facebook Bad Words List EN
arsehole,30,Facebook Bad Words List EN
ass,30,Facebook Bad Words List EN
ass-fucker,40,Facebook Bad Words List EN
ass-hat,40,Facebook Bad Words List EN
ass-jabber,40,Facebook Bad Words List EN
ass-pirate,40,Facebook Bad Words List EN
assbag,40,Facebook Bad Words List EN
assbandit,40,Facebook Bad Words List EN
assbanger,40,Facebook Bad Words List EN
assbite,30,Facebook Bad Words List EN
assclown,30,Facebook Bad Words List EN
asscock,50,Facebook Bad Words List EN
asscracker,40,Facebook Bad Words List EN
asses,20,Facebook Bad Words List EN
assface,40,Facebook Bad Words List EN
assfuck,40,Facebook Bad Words List EN
assfucker,40,Facebook Bad Words List EN
assfukka,40,Facebook Bad Words List EN
assgoblin,30,Facebook Bad Words List EN
asshat,20,Facebook Bad Words List EN
asshead,20,Facebook Bad Words List EN
asshole,30,Facebook Bad Words List EN
assholes,30,Facebook Bad Words List EN
asshopper,40,Facebook Bad Words List EN
assjacker,30,Facebook Bad Words List EN
asslick,30,Facebook Bad Words List EN
asslicker,30,Facebook Bad Words List EN
assmonkey,30,Facebook Bad Words List EN
assmunch,30,Facebook Bad Words List EN
assmuncher,30,
assnigger,60,
asspirate,30,
assshit,30,
assshole,40,
asssucker,40,
asswad,30,
asswhole,30,
asswipe,30,
autoerotic,50,
axwound,30,
b!tch,100,
b00bs,100,
b17ch,100,
b1tch,100,
babeland,30,
ballbag,40,
balls,30,
ballsack,40,
bampot,30,
bangbros,50,
bareback,40,
barenaked,40,
bastard,60,
bastardo,60,
bastinado,60,
bbw,30,
bdsm,30,
beaner,50,
beaners,50,
beastial,30,
beastiality,30,
bellend,30,
bestial,30,
bestiality,30,
bi+ch,100,
biatch,65,
bimbos,30,
birdlock,30,
bitch,40,
bitchass,40,
bitcher,40,
bitchers,40,
bitches,40,
bitchin,40,
bitching,40,
bitchtits,40,
bitchy,40,
bloody,40,
blowjob,50,
blowjobs,50,
blumpkin,30,
boiolas,30,
bollock,30,
bollocks,30,
bollok,30,
bollox,30,
bondage,30,
boner,50,
boob,40,
boobs,42,
booobs,43,
boooobs,44,
booooobs,45,
booooooobs,46,
breasts,40,
breeder,50,
brotherfucker,100,
buceta,30,
bugger,30,
bukkake,30,
bulldyke,30,
bullshit,35,
bum,30,
bumblefuck,100,
bunghole,30,
busty,30,
butt,30,
butt-pirate,30,
buttcheeks,30,
buttfucka,100,
buttfucker,100,
butthole,30,
buttmuch,30,
buttplug,50,
c0ck,100,
c0cksucker,100,
camgirl,
camslut,
camwhore,
carpetmuncher,
cawk,
chesticle,
chinc,
chink,
choad,
chode,
cipa,
circlejerk,
cl1t,100,
clit,
clitface,
clitfuck,100,
clitoris,
clits,
clusterfuck,100,
cnut,
cock,
cock-sucker,
cockass,
cockbite,
cockburger,
cockeye,
cockface,
cockfucker,
cockhead,
cockjockey,
cockknoker,
cocklump,
cockmaster,
cockmongler,
cockmongruel,
cockmonkey,
cockmunch,
cockmuncher,
cocknose,
cocknugget,
cocks,
cockshit,
cocksmith,
cocksmoke,
cocksmoker,
cocksniffer,
cocksuck,
cocksucked,
cocksucker,
cocksucking,
cocksucks,
cocksuka,
cocksukka,
cockwaffle,
cok,
cokmuncher,
coksucka,
coochie,
coochy,
coon,
coons,
cooter,
coprolagnia,
coprophilia,
cornhole,
cox,
cracker,
crap,
creampie,
crotte,
cum,
cumbubble,
cumdumpster,
cumguzzler,
cumjockey,
cummer,
cumming,
cums,
cumshot,
cumslut,
cumtart,
cunilingus,
cunillingus,
cunnie,
cunnilingus,
cunt,
cuntass,
cuntface,
cunthole,
cuntlick,
cuntlicker,
cuntlicking,
cuntrag,
cunts,
cuntslut,
cyalis,
cyberfuc,100,
cyberfuck,100,
cyberfucked,100,
cyberfucker,100,
cyberfuckers,100,
cyberfucking,100,
d1ck,100,
dago,
damn,
darkie,
daterape,
deepthroat,
deggo,
dendrophilia,
dick,100,
dick-sneeze,100,
dickbag,100,
dickbeaters,100,
dickface,100,
dickfuck,100,
dickfucker,100,
dickhead,100,
dickhole,100,
dickjuice,100,
dickmilk ,100,
dickmonger,100,
dicks,100,
dickslap,100,
dicksucker,100,
dicksucking,100,
dicktickler,100,
dickwad,100,
dickweasel,100,
dickweed,100,
dickwod,100,
dike,
dildo,
dildos,
dingleberries,
dingleberry,
dink,
dinks,
dipshit,
dirsa,
dlck,100,
dog-fucker,90,
doggiestyle,
doggin,100,
dogging,100,
doggystyle,
dolcett,
domination,
dominatrix,
dommes,
donkeyribber,
doochbag,
dookie,
doosh,
doublelift,
douche,
douche-fag,100,
douchebag,
douchewaffle,
duche,
dumass,
dumbass,
dumbcunt,
dumbfuck,100,
dumbshit,
dumshit,
dvda,
dyke,
ecchi,
ejaculate,100,
ejaculated,100,
ejaculates,100,
ejaculating,100,
ejaculatings,100,
ejaculation,100,
ejakulate,100,
erotic,
erotism,
escort,
eunuch,
f_u_c_k,100,
f4nny,100,
fag,100,
fagbag,100,
fagfucker,100,
fagging,100,
faggit,100,
faggitt,100,
faggot,100,
faggotcock,100,
faggs,100,
fagot,100,
fagots,100,
fags,100,
fagtard,100,
fanny,
fannyflaps,
fannyfucker,
fanyy,
fatass,
fcuk,100,
fcuker,100,
fcuking,100,
fecal,
feck,
fecker,
felch,
felching,
fellate,
fellatio,
feltch,
femdom,
figging,
fingerbang,
fingerfuck,100,
fingerfucked,100,
fingerfucker,100,
fingerfuckers,100,
fingerfucking,100,
fingerfucks,100,
fingering,100,
fistfuck,100,
fistfucked,100,
fistfucker,100,
fistfuckers,100,
fistfucking,100,
fistfuckings,100,
fistfucks,100,
fisting,100,
flamer,
flange,
foah,
fook,
fooker,
footjob,100,
frotting,100,
fuck,100,
fucka,100,
fuckass,100,
fuckbag,100,
fuckboy,100,
fuckbrain,100,
fuckbutt,100,
fuckbutter,100,
fucked,100,
fucker,100,
fuckers,100,
fuckersucker,100,
fuckface,100,
fuckhead,100,
fuckheads,100,
fuckhole,100,
fuckin,100,
fucking,100,
fuckings,100,
fuckingshitmotherfucker,100,
fuckme,100,
fucknut,100,
fucknutt,100,
fuckoff,100,
fucks,100,
fuckstick,100,
fucktard,100,
fucktards,100,
fucktart,100,
fucktwat,100,
fuckup,100,
fuckwad,100,
fuckwhit,100,
fuckwit,100,
fuckwitt,100,
fudgepacker,100,
fuk,100,
fuker,100,
fukker,100,
fukkin,100,
fuks,100,
fukwhit,100,
fukwit,100,
futanari,100,
fux,100,
fux0r,100,
g-spot,
gangbang,100,
gangbanged,100,
gangbangs,100,
gayass,100,
gaybob,100,
gaydo,100,
gayfuck,100,
gayfuckist,100,
gaylord,100,
gaysex,100,
gaytard,100,
gaywad,100,
genitals,50,
goatcx,
goatse,
god-dam,
god-damned,
goddamn,
goddamned,
goddamnit,
gokkun,
gooch,
goodpoop,
gook,
goregasm,
gringo,
grope,
guido,
guro,
handjob,100,
hardcore,30,
hardcoresex,100,
heeb,
hentai,
heshe,
hoar,60,
hoare,60,
hoer,60,
homo,100,
homodumbshit,100,
homoerotic,100,
honkey,
hooker,
hore,60,
horniest,100,
horny,100,
hotsex,100,
humping,100,
incest,50,
intercourse,90,
jack-off,100,
jackass,
jackoff,
jaggi,
jagoff,
jailbait,
jap,
jerk-off,100,
jerkass,
jigaboo,
jiggaboo,
jiggerboo,
jism,
jiz,
jizm,
jizz,
juggs,
junglebunny,
kawk,
kike,
kinbaku,
kinkster,
kinky,
knob,
knobbing,
knobead,
knobed,
knobend,
knobhead,
knobjocky,
knobjokey,
kock,100,
kondum,100,
kondums,100,
kooch,100,
kootch,100,
kum,100,
kummer,100,
kumming,100,
kums,100,
kunilingus,
kunja,
kunt,
kyke,
l3i+ch,100,
l3itch,100,
labia,
lameass,
lardass,
lesbo,100,
lezzie,
lolita,
lovemaking,10,
lusting,20,
m0f0,100,
m0fo,100,
m45terbate,100,
ma5terb8,100,
ma5terbate,100,
masochist,
master-bate,100,
masterb8,100,
masterbat,100,
masterbat3,100,
masterbate,100,
masterbation,100,
masterbations,100,
masturbate,100,
mcfagget,100,
mick,
milf,50,
minge,
mo-fo,100,
mof0,100,
mofo,
mothafuck,100,
mothafucka,100,
mothafuckas,100,
mothafuckaz,100,
mothafucked,100,
mothafucker,100,
mothafuckers,100,
mothafuckin,100,
mothafucking,100,
mothafuckings,100,
mothafucks,100,
motherfuck,100,
motherfucked,100,
motherfucker,100,
motherfuckers,100,
motherfuckin,100,
motherfucking,100,
motherfuckings,100,
